,Local Authority,School Holidays,Starts,Finishes
0,Aberdeen,Autumn Half Term Holidays,21 Sep 2018(Fri),24 Sep 2018(Mon)
1,Aberdeen,Autumn Holidays,15 Oct 2018(Mon),26 Oct 2018(Fri)
2,Aberdeen,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Aberdeen,Spring Half Term Holidays,11 Feb 2019(Mon),13 Feb 2019(Wed)
4,Aberdeen,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,Aberdeen,May Holidays,6 May 2019(Mon),7 May 2019(Tue)
6,Aberdeen,Summer Holidays,8 Jul 2019(Mon),19 Aug 2019(Mon)
,Local Authority,School Holidays,Starts,Finishes
0,Aberdeenshire,Autumn Holidays,15 Oct 2018(Mon),26 Oct 2018(Fri)
1,Aberdeenshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Aberdeenshire,Spring Half Term Holidays,11 Feb 2019(Mon),13 Feb 2019(Wed)
3,Aberdeenshire,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
4,Aberdeenshire,Summer Holidays,8 Jul 2019(Mon),19 Aug 2019(Mon)
,Local Authority,School Holidays,Starts,Finishes
0,Angus,Autumn Holidays,1 Oct 2018(Mon),12 Oct 2018(Fri)
1,Angus,Winter Half Term Holidays,28 Nov 2018(Wed),30 Nov 2018(Fri)
2,Angus,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Angus,Spring Half Term Holidays,21 Feb 2019(Thu),25 Feb 2019(Mon)
4,Angus,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
5,Angus,Summer Holidays,1 Jul 2019(Mon),13 Aug 2019(Tue)
,Local Authority,School Holidays,Starts,Finishes
0,Argyll and Bute,Autumn Holidays,8 Oct 2018(Mon),19 Oct 2018(Fri)
1,Argyll and Bute,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Argyll and Bute,Spring Half Term Holidays,11 Feb 2019(Mon),15 Feb 2019(Fri)
3,Argyll and Bute,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
4,Argyll and Bute,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
5,Argyll and Bute,Summer Holidays,1 Jul 2019(Mon),14 Aug 2019(Wed)
,Local Authority,School Holidays,Starts,Finishes
0,Clackmannanshire,Autumn Holidays,15 Oct 2018(Mon),19 Oct 2018(Fri)
1,Clackmannanshire,Winter Half Term Holidays,29 Nov 2018(Thu),30 Nov 2018(Fri)
2,Clackmannanshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Clackmannanshire,Spring Half Term Holidays,11 Feb 2019(Mon),15 Feb 2019(Fri)
4,Clackmannanshire,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,Clackmannanshire,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,Clackmannanshire,Summer Holidays,1 Jul 2019(Mon),19 Aug 2019(Mon)
,Local Authority,School Holidays,Starts,Finishes
0,Comhairle nan Eilean Star,Autumn Holidays,15 Oct 2018(Mon),24 Oct 2018(Wed)
1,Comhairle nan Eilean Star,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Comhairle nan Eilean Star,Spring Half Term Holidays,6 Feb 2019(Wed),11 Feb 2019(Mon)
3,Comhairle nan Eilean Star,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
4,Comhairle nan Eilean Star,Summer Holidays,1 Jul 2019(Mon),14 Aug 2019(Wed)
,Local Authority,School Holidays,Starts,Finishes
0,Dumfries and Galloway,Autumn Holidays,15 Oct 2018(Mon),26 Oct 2018(Fri)
1,Dumfries and Galloway,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Dumfries and Galloway,Spring Half Term Holidays,21 Feb 2019(Thu),22 Feb 2019(Fri)
3,Dumfries and Galloway,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,Dumfries and Galloway,Summer Holidays,1 Jul 2019(Mon),20 Aug 2019(Tue)
,Local Authority,School Holidays,Starts,Finishes
0,Dundee,Autumn Holidays,8 Oct 2018(Mon),19 Oct 2018(Fri)
1,Dundee,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Dundee,Spring Half Term Holidays,15 Feb 2019(Fri),19 Feb 2019(Tue)
3,Dundee,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
4,Dundee,Summer Holidays,1 Jul 2019(Mon),12 Aug 2019(Mon)
,Local Authority,School Holidays,Starts,Finishes
0,East Ayrshire,Autumn Half Term Holidays,21 Sep 2018(Fri),24 Sep 2018(Mon)
1,East Ayrshire,Autumn Holidays,15 Oct 2018(Mon),19 Oct 2018(Fri)
2,East Ayrshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,East Ayrshire,Spring Half Term Holidays,11 Feb 2019(Mon),15 Feb 2019(Fri)
4,East Ayrshire,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,East Ayrshire,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,East Ayrshire,Summer Holidays,1 Jul 2019(Mon),16 Aug 2019(Fri)
,Local Authority,School Holidays,Starts,Finishes
0,East Dunbartonshire,Autumn Half Term Holidays,21 Sep 2018(Fri),24 Sep 2018(Mon)
1,East Dunbartonshire,Autumn Holidays,12 Oct 2018(Fri),19 Oct 2018(Fri)
2,East Dunbartonshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,East Dunbartonshire,Spring Half Term Holidays,11 Feb 2019(Mon),13 Feb 2019(Wed)
4,East Dunbartonshire,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,East Dunbartonshire,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,East Dunbartonshire,Summer Half Term Holidays,23 May 2019(Thu),27 May 2019(Mon)
7,East Dunbartonshire,Summer Holidays,28 Jun 2019(Fri),14 Aug 2019(Wed)
,Local Authority,School Holidays,Starts,Finishes
0,East Lothian,Autumn Half Term Holidays,14 Sep 2018(Fri),17 Sep 2018(Mon)
1,East Lothian,Autumn Holidays,15 Oct 2018(Mon),22 Oct 2018(Mon)
2,East Lothian,Winter Holidays,21 Dec 2018(Fri),4 Jan 2019(Fri)
3,East Lothian,Spring Half Term Holidays,11 Feb 2019(Mon),18 Feb 2019(Mon)
4,East Lothian,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
5,East Lothian,Summer Holidays,1 Jul 2019(Mon),13 Aug 2019(Tue)
,Local Authority,School Holidays,Starts,Finishes
0,East Renfrewshire,Autumn Half Term Holidays,21 Sep 2018(Fri),24 Sep 2018(Mon)
1,East Renfrewshire,Autumn Holidays,12 Oct 2018(Fri),19 Oct 2018(Fri)
2,East Renfrewshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,East Renfrewshire,Spring Half Term Holidays,8 Feb 2019(Fri),12 Feb 2019(Tue)
4,East Renfrewshire,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,East Renfrewshire,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,East Renfrewshire,May Holidays,6 May 2019(Mon),7 May 2019(Tue)
7,East Renfrewshire,Summer Holidays,28 Jun 2019(Fri),
,Local Authority,School Holidays,Starts,Finishes
0,Edinburgh,Autumn Holidays,17 Sep 2018(Mon),17 Sep 2018(Mon)
1,Edinburgh,Autumn Half Term Holidays,15 Oct 2018(Mon),22 Oct 2018(Mon)
2,Edinburgh,Winter Holidays,24 Dec 2018(Mon),8 Jan 2019(Tue)
3,Edinburgh,Spring Half Term Holidays,11 Feb 2019(Mon),15 Feb 2019(Fri)
4,Edinburgh,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
5,Edinburgh,May Holidays,6 May 2019(Mon),7 May 2019(Tue)
6,Edinburgh,Summer Holidays,1 Jul 2019(Mon),13 Aug 2019(Tue)
,Local Authority,School Holidays,Starts,Finishes
0,Falkirk,Autumn Half Term Holidays,10 Sep 2018(Mon),10 Sep 2018(Mon)
1,Falkirk,Autumn Holidays,15 Oct 2018(Mon),22 Oct 2018(Mon)
2,Falkirk,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Falkirk,Spring Half Term Holidays,8 Feb 2019(Fri),12 Feb 2019(Tue)
4,Falkirk,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,Falkirk,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,Falkirk,May Holidays,3 May 2019(Fri),6 May 2019(Mon)
7,Falkirk,Summer Holidays,1 Jul 2019(Mon),16 Aug 2019(Fri)
,Local Authority,School Holidays,Starts,Finishes
0,Fife,Autumn Holidays,8 Oct 2018(Mon),19 Oct 2018(Fri)
1,Fife,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Fife,Spring Half Term Holidays,13 Feb 2019(Wed),15 Feb 2019(Fri)
3,Fife,Spring Holidays,5 Apr 2019(Fri),19 Apr 2019(Fri)
4,Fife,June Holidays,3 Jun 2019(Mon),4 Jun 2019(Tue)
5,Fife,Summer Holidays,1 Jul 2019(Mon),20 Aug 2019(Tue)
,Local Authority,School Holidays,Starts,Finishes
0,Glasgow,Autumn Half Term Holidays,21 Sep 2018(Fri),24 Sep 2018(Mon)
1,Glasgow,Autumn Holidays,12 Oct 2018(Fri),19 Oct 2018(Fri)
2,Glasgow,Winter Holidays,21 Dec 2018(Fri),4 Jan 2019(Fri)
3,Glasgow,Spring Half Term Holidays,11 Feb 2019(Mon),13 Feb 2019(Wed)
4,Glasgow,Spring Holidays,1 Apr 2019(Mon),15 Apr 2019(Mon)
5,Glasgow,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,Glasgow,May Holidays,6 May 2019(Mon),7 May 2019(Tue)
7,Glasgow,Summer Half Term Holidays,24 May 2019(Fri),27 May 2019(Mon)
8,Glasgow,Summer Holidays,1 Jul 2019(Mon),13 Aug 2019(Tue)
,Local Authority,School Holidays,Starts,Finishes
0,Highland,Autumn Half Term Holidays,17 Sep 2018(Mon),18 Sep 2018(Tue)
1,Highland,Autumn Holidays,15 Oct 2018(Mon),26 Oct 2018(Fri)
2,Highland,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Highland,Spring Half Term Holidays,18 Feb 2019(Mon),20 Feb 2019(Wed)
4,Highland,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
5,Highland,Summer Holidays,5 Jul 2019(Fri),19 Aug 2019(Mon)
,Local Authority,School Holidays,Starts,Finishes
0,Inverclyde,Autumn Half Term Holidays,3 Sep 2018(Mon),4 Sep 2018(Tue)
1,Inverclyde,Autumn Holidays,15 Oct 2018(Mon),22 Oct 2018(Mon)
2,Inverclyde,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Inverclyde,Spring Half Term Holidays,11 Feb 2019(Mon),13 Feb 2019(Wed)
4,Inverclyde,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,Inverclyde,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,Inverclyde,Summer Half Term Holidays,24 May 2019(Fri),28 May 2019(Tue)
7,Inverclyde,Summer Holidays,1 Jul 2019(Mon),16 Aug 2019(Fri)
,Local Authority,School Holidays,Starts,Finishes
0,Midlothian,Autumn Holidays,15 Oct 2018(Mon),22 Oct 2018(Mon)
1,Midlothian,Winter Holidays,24 Dec 2018(Mon),7 Jan 2019(Mon)
2,Midlothian,Spring Half Term Holidays,11 Feb 2019(Mon),15 Feb 2019(Fri)
3,Midlothian,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,Midlothian,Summer Holidays,1 Jul 2019(Mon),16 Aug 2019(Fri)
,Local Authority,School Holidays,Starts,Finishes
0,Moray,Autumn Holidays,8 Oct 2018(Mon),19 Oct 2018(Fri)
1,Moray,Winter Half Term Holidays,12 Nov 2018(Mon),13 Nov 2018(Tue)
2,Moray,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Moray,Spring Half Term Holidays,8 Feb 2019(Fri),11 Feb 2019(Mon)
4,Moray,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,Moray,May Holidays,16 May 2019(Thu),17 May 2019(Fri)
6,Moray,Summer Holidays,1 Jul 2019(Mon),19 Aug 2019(Mon)
,Local Authority,School Holidays,Starts,Finishes
0,North Ayrshire,Autumn Holidays,15 Oct 2018(Mon),19 Oct 2018(Fri)
1,North Ayrshire,Winter Half Term Holidays,16 Nov 2018(Fri),19 Nov 2018(Mon)
2,North Ayrshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,North Ayrshire,Spring Half Term Holidays,8 Feb 2019(Fri),12 Feb 2019(Tue)
4,North Ayrshire,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,North Ayrshire,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,North Ayrshire,Summer Holidays,1 Jul 2019(Mon),16 Aug 2019(Fri)
,Local Authority,School Holidays,Starts,Finishes
0,North Lanarkshire,Autumn Half Term Holidays,21 Sep 2018(Fri),24 Sep 2018(Mon)
1,North Lanarkshire,Autumn Holidays,15 Oct 2018(Mon),19 Oct 2018(Fri)
2,North Lanarkshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,North Lanarkshire,Spring Half Term Holidays,11 Feb 2019(Mon),13 Feb 2019(Wed)
4,North Lanarkshire,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,North Lanarkshire,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,North Lanarkshire,May Holidays,6 May 2019(Mon),7 May 2019(Tue)
7,North Lanarkshire,Summer Half Term Holidays,24 May 2019(Fri),27 May 2019(Mon)
8,North Lanarkshire,Summer Holidays,1 Jul 2019(Mon),13 Aug 2019(Tue)
,Local Authority,School Holidays,Starts,Finishes
0,Orkney Islands,Autumn Holidays,15 Oct 2018(Mon),30 Oct 2018(Tue)
1,Orkney Islands,Winter Holidays,21 Dec 2018(Fri),4 Jan 2019(Fri)
2,Orkney Islands,Spring Half Term Holidays,14 Feb 2019(Thu),18 Feb 2019(Mon)
3,Orkney Islands,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,Orkney Islands,Summer Holidays,8 Jul 2019(Mon),19 Aug 2019(Mon)
,Local Authority,School Holidays,Starts,Finishes
0,Perth and Kinross,Autumn Holidays,8 Oct 2018(Mon),19 Oct 2018(Fri)
1,Perth and Kinross,Winter Half Term Holidays,15 Nov 2018(Thu),16 Nov 2018(Fri)
2,Perth and Kinross,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Perth and Kinross,Spring Half Term Holidays,13 Feb 2019(Wed),15 Feb 2019(Fri)
4,Perth and Kinross,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,Perth and Kinross,Easter Holidays,19 Apr 2019(Fri),23 Apr 2019(Tue)
6,Perth and Kinross,Summer Holidays,1 Jul 2019(Mon),19 Aug 2019(Mon)
,Local Authority,School Holidays,Starts,Finishes
0,Renfrewshire,Autumn Half Term Holidays,21 Sep 2018(Fri),24 Sep 2018(Mon)
1,Renfrewshire,Autumn Holidays,15 Oct 2018(Mon),22 Oct 2018(Mon)
2,Renfrewshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Renfrewshire,Spring Half Term Holidays,11 Feb 2019(Mon),13 Feb 2019(Wed)
4,Renfrewshire,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,Renfrewshire,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,Renfrewshire,May Holidays,6 May 2019(Mon),7 May 2019(Tue)
7,Renfrewshire,Summer Half Term Holidays,24 May 2019(Fri),27 May 2019(Mon)
8,Renfrewshire,Summer Holidays,1 Jul 2019(Mon),14 Aug 2019(Wed)
,Local Authority,School Holidays,Starts,Finishes
0,Scottish Borders,Autumn Holidays,8 Oct 2018(Mon),12 Oct 2018(Fri)
1,Scottish Borders,Winter Half Term Holidays,8 Nov 2018(Thu),9 Nov 2018(Fri)
2,Scottish Borders,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Scottish Borders,Spring Half Term Holidays,15 Feb 2019(Fri),19 Feb 2019(Tue)
4,Scottish Borders,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,Scottish Borders,May Holidays,3 May 2019(Fri),6 May 2019(Mon)
6,Scottish Borders,Summer Holidays,3 Jul 2019(Wed),19 Aug 2019(Mon)
,Local Authority,School Holidays,Starts,Finishes
0,Shetland Islands,Autumn Holidays,15 Oct 2018(Mon),30 Oct 2018(Tue)
1,Shetland Islands,Winter Holidays,24 Dec 2018(Mon),7 Jan 2019(Mon)
2,Shetland Islands,Spring Half Term Holidays,22 Feb 2019(Fri),25 Feb 2019(Mon)
3,Shetland Islands,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
4,Shetland Islands,Summer Holidays,8 Jul 2019(Mon),20 Aug 2019(Tue)
,Local Authority,School Holidays,Starts,Finishes
0,South Ayrshire,Autumn Half Term Holidays,21 Sep 2018(Fri),24 Sep 2018(Mon)
1,South Ayrshire,Autumn Holidays,15 Oct 2018(Mon),22 Oct 2018(Mon)
2,South Ayrshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,South Ayrshire,Spring Half Term Holidays,11 Feb 2019(Mon),12 Feb 2019(Tue)
4,South Ayrshire,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,South Ayrshire,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,South Ayrshire,Summer Half Term Holidays,27 May 2019(Mon),28 May 2019(Tue)
7,South Ayrshire,Summer Holidays,1 Jul 2019(Mon),19 Aug 2019(Mon)
,Local Authority,School Holidays,Starts,Finishes
0,South Lanarkshire,Autumn Half Term Holidays,21 Sep 2018(Fri),24 Sep 2018(Mon)
1,South Lanarkshire,Autumn Holidays,15 Oct 2018(Mon),19 Oct 2018(Fri)
2,South Lanarkshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,South Lanarkshire,Spring Half Term Holidays,11 Feb 2019(Mon),13 Feb 2019(Wed)
4,South Lanarkshire,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,South Lanarkshire,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,South Lanarkshire,May Holidays,6 May 2019(Mon),7 May 2019(Tue)
7,South Lanarkshire,Summer Half Term Holidays,24 May 2019(Fri),27 May 2019(Mon)
8,South Lanarkshire,Summer Holidays,1 Jul 2019(Mon),14 Aug 2019(Wed)
,Local Authority,School Holidays,Starts,Finishes
0,Stirling,Autumn Holidays,15 Oct 2018(Mon),19 Oct 2018(Fri)
1,Stirling,Winter Half Term Holidays,29 Nov 2018(Thu),30 Nov 2018(Fri)
2,Stirling,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Stirling,Spring Half Term Holidays,11 Feb 2019(Mon),15 Feb 2019(Fri)
4,Stirling,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,Stirling,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,Stirling,Summer Holidays,1 Jul 2019(Mon),19 Aug 2019(Mon)
,Local Authority,School Holidays,Starts,Finishes
0,West Dunbartonshire,Autumn Half Term Holidays,21 Sep 2018(Fri),24 Sep 2018(Mon)
1,West Dunbartonshire,Autumn Holidays,12 Oct 2018(Fri),19 Oct 2018(Fri)
2,West Dunbartonshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,West Dunbartonshire,Spring Half Term Holidays,11 Feb 2019(Mon),13 Feb 2019(Wed)
4,West Dunbartonshire,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,West Dunbartonshire,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,West Dunbartonshire,Summer Half Term Holidays,23 May 2019(Thu),27 May 2019(Mon)
7,West Dunbartonshire,Summer Holidays,1 Jul 2019(Mon),16 Aug 2019(Fri)
,Local Authority,School Holidays,Starts,Finishes
0,West Lothian,Autumn Half Term Holidays,17 Sep 2018(Mon),18 Sep 2018(Tue)
1,West Lothian,Autumn Holidays,15 Oct 2018(Mon),22 Oct 2018(Mon)
2,West Lothian,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,West Lothian,Spring Half Term Holidays,18 Feb 2019(Mon),19 Feb 2019(Tue)
4,West Lothian,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
5,West Lothian,May Holidays,6 May 2019(Mon),7 May 2019(Tue)
6,West Lothian,Summer Holidays,1 Jul 2019(Mon),19 Aug 2019(Mon)
